0,1,2,3,4,5
65632.52499999998,64994.984999999986,64984.46999999999,64011.29999999999,62075.474999999984,62210.999999999985
64994.984999999986,64984.46999999999,64011.29999999999,62075.474999999984,62210.999999999985,62893.75499999999
64984.46999999999,64011.29999999999,62075.474999999984,62210.999999999985,62893.75499999999,62703.98999999999
64011.29999999999,62075.474999999984,62210.999999999985,62893.75499999999,62703.98999999999,61292.09999999999
62075.474999999984,62210.999999999985,62893.75499999999,62703.98999999999,61292.09999999999,60791.279999999984
62210.999999999985,62893.75499999999,62703.98999999999,61292.09999999999,60791.279999999984,61201.529999999984
62893.75499999999,62703.98999999999,61292.09999999999,60791.279999999984,61201.529999999984,60353.55999999998
62703.98999999999,61292.09999999999,60791.279999999984,61201.529999999984,60353.55999999998,59709.86499999999
61292.09999999999,60791.279999999984,61201.529999999984,60353.55999999998,59709.86499999999,59611.27499999999
60791.279999999984,61201.529999999984,60353.55999999998,59709.86499999999,59611.27499999999,58633.40999999999
61201.529999999984,60353.55999999998,59709.86499999999,59611.27499999999,58633.40999999999,57937.25999999998
60353.55999999998,59709.86499999999,59611.27499999999,58633.40999999999,57937.25999999998,57255.25999999998
59709.86499999999,59611.27499999999,58633.40999999999,57937.25999999998,57255.25999999998,56907.43999999999
59611.27499999999,58633.40999999999,57937.25999999998,57255.25999999998,56907.43999999999,56721.68999999999
58633.40999999999,57937.25999999998,57255.25999999998,56907.43999999999,56721.68999999999,54689.749999999985
57937.25999999998,57255.25999999998,56907.43999999999,56721.68999999999,54689.749999999985,52672.999999999985
57255.25999999998,56907.43999999999,56721.68999999999,54689.749999999985,52672.999999999985,51457.35499999998
56907.43999999999,56721.68999999999,54689.749999999985,52672.999999999985,51457.35499999998,49744.33999999998
56721.68999999999,54689.749999999985,52672.999999999985,51457.35499999998,49744.33999999998,48267.95499999999
54689.749999999985,52672.999999999985,51457.35499999998,49744.33999999998,48267.95499999999,49904.46999999999
52672.999999999985,51457.35499999998,49744.33999999998,48267.95499999999,49904.46999999999,53177.999999999985
51457.35499999998,49744.33999999998,48267.95499999999,49904.46999999999,53177.999999999985,55675.22999999998
49744.33999999998,48267.95499999999,49904.46999999999,53177.999999999985,55675.22999999998,58459.22999999998
48267.95499999999,49904.46999999999,53177.999999999985,55675.22999999998,58459.22999999998,61215.389999999985
49904.46999999999,53177.999999999985,55675.22999999998,58459.22999999998,61215.389999999985,61978.169999999984
53177.999999999985,55675.22999999998,58459.22999999998,61215.389999999985,61978.169999999984,62330.64999999998
55675.22999999998,58459.22999999998,61215.389999999985,61978.169999999984,62330.64999999998,61793.609999999986
58459.22999999998,61215.389999999985,61978.169999999984,62330.64999999998,61793.609999999986,61240.12999999999
61215.389999999985,61978.169999999984,62330.64999999998,61793.609999999986,61240.12999999999,61917.68999999999
61978.169999999984,62330.64999999998,61793.609999999986,61240.12999999999,61917.68999999999,61364.209999999985
62330.64999999998,61793.609999999986,61240.12999999999,61917.68999999999,61364.209999999985,60482.90999999999
61793.609999999986,61240.12999999999,61917.68999999999,61364.209999999985,60482.90999999999,60335.01999999999
61240.12999999999,61917.68999999999,61364.209999999985,60482.90999999999,60335.01999999999,58871.289999999986
61917.68999999999,61364.209999999985,60482.90999999999,60335.01999999999,58871.289999999986,57686.484999999986
61364.209999999985,60482.90999999999,60335.01999999999,58871.289999999986,57686.484999999986,56824.574999999975
60482.90999999999,60335.01999999999,58871.289999999986,57686.484999999986,56824.574999999975,56215.709999999985
60335.01999999999,58871.289999999986,57686.484999999986,56824.574999999975,56215.709999999985,56621.77499999997
58871.289999999986,57686.484999999986,56824.574999999975,56215.709999999985,56621.77499999997,55521.70499999999
57686.484999999986,56824.574999999975,56215.709999999985,56621.77499999997,55521.70499999999,53343.13499999998
56824.574999999975,56215.709999999985,56621.77499999997,55521.70499999999,53343.13499999998,50649.85499999998
56215.709999999985,56621.77499999997,55521.70499999999,53343.13499999998,50649.85499999998,48471.28499999999
56621.77499999997,55521.70499999999,53343.13499999998,50649.85499999998,48471.28499999999,46539.28499999999
55521.70499999999,53343.13499999998,50649.85499999998,48471.28499999999,46539.28499999999,44774.999999999985
53343.13499999998,50649.85499999998,48471.28499999999,46539.28499999999,44774.999999999985,44485.499999999985
50649.85499999998,48471.28499999999,46539.28499999999,44774.999999999985,44485.499999999985,45030.209999999985
48471.28499999999,46539.28499999999,44774.999999999985,44485.499999999985,45030.209999999985,44901.209999999985
46539.28499999999,44774.999999999985,44485.499999999985,45030.209999999985,44901.209999999985,44103.65999999999
44774.999999999985,44485.499999999985,45030.209999999985,44901.209999999985,44103.65999999999,43531.10999999998
44485.499999999985,45030.209999999985,44901.209999999985,44103.65999999999,43531.10999999998,44354.999999999985
45030.209999999985,44901.209999999985,44103.65999999999,43531.10999999998,44354.999999999985,44063.44999999998
44901.209999999985,44103.65999999999,43531.10999999998,44354.999999999985,44063.44999999998,43240.72499999999
44103.65999999999,43531.10999999998,44354.999999999985,44063.44999999998,43240.72499999999,42870.47499999999
43531.10999999998,44354.999999999985,44063.44999999998,43240.72499999999,42870.47499999999,42269.52499999999
44354.999999999985,44063.44999999998,43240.72499999999,42870.47499999999,42269.52499999999,41887.374999999985
44063.44999999998,43240.72499999999,42870.47499999999,42269.52499999999,41887.374999999985,41793.79999999999
43240.72499999999,42870.47499999999,42269.52499999999,41887.374999999985,41793.79999999999,41895.65999999999
42870.47499999999,42269.52499999999,41887.374999999985,41793.79999999999,41895.65999999999,41683.499999999985
42269.52499999999,41887.374999999985,41793.79999999999,41895.65999999999,41683.499999999985,41269.639999999985
